respondent_id,religiosity,social_activities,social_meetings,discuss_matters
189,8,2,7,1.0
190,0,2,7,2.0
191,7,3,4,1.0
192,8,1,6,1.0
193,8,2,3,1.0
194,6,4,4,1.0
195,9,4,7,1.0
196,0,2,6,1.0
197,4,2,7,1.0
198,7,4,6,1.0
199,2,3,7,1.0
200,9,4,6,1.0
201,1,3,6,1.0
202,7,4,6,1.0
203,1,4,5,1.0
204,3,4,6,1.0
205,10,1,5,1.0
206,5,3,6,1.0
207,2,3,7,1.0
208,8,5,6,1.0
209,0,5,7,1.0
210,10,1,2,1.0
211,5,3,6,1.0
212,10,4,4,1.0
213,1,2,7,1.0
214,5,3,7,1.0
215,10,3,6,1.0
216,0,2,7,2.0
217,8,4,7,1.0
218,1,3,6,1.0
219,2,4,6,1.0
220,2,1,6,2.0
221,10,2,7,1.0
222,5,3,6,1.0
223,0,5,6,1.0
224,5,4,7,1.0
225,8,5,7,1.0
226,7,2,5,1.0
227,6,3,6,1.0
228,6,5,6,1.0
229,9,3,5,1.0
230,8,1,7,1.0
231,6,1,5,1.0
232,7,3,7,1.0
233,8,4,6,1.0
234,7,2,3,2.0
235,3,4,3,1.0
236,3,3,6,1.0
237,4,2,6,1.0
238,4,3,7,1.0
239,0,3,5,1.0
240,1,3,6,1.0
241,5,3,6,1.0
242,0,4,4,1.0
243,3,4,6,1.0
244,1,8,7,1.0
245,2,2,5,1.0
246,3,2,4,1.0
247,0,3,6,1.0
248,7,2,5,1.0
249,8,3,6,1.0
250,7,1,4,1.0
251,7,3,6,1.0
252,5,1,6,1.0
253,9,2,4,2.0
254,7,4,6,1.0
255,7,1,5,1.0
256,2,3,4,1.0
257,5,4,6,1.0
258,8,2,5,1.0
259,8,3,7,1.0
260,9,4,7,1.0
261,8,4,6,1.0
262,5,2,2,1.0
263,1,4,4,1.0
264,8,3,5,1.0
265,5,4,6,2.0
266,0,2,5,1.0
267,8,4,6,1.0
268,8,5,6,1.0
269,7,2,6,1.0
270,0,3,5,1.0
271,6,3,7,1.0
272,7,1,7,1.0
273,10,3,3,1.0
274,7,4,6,1.0
275,8,2,4,1.0
276,6,3,7,1.0
277,10,1,4,1.0
278,8,2,5,1.0
279,8,4,6,1.0
280,7,3,4,1.0
281,8,4,6,1.0
282,8,1,7,1.0
283,7,2,2,1.0
284,10,3,4,1.0
285,10,2,4,1.0
286,10,4,6,1.0
287,4,1,6,1.0
288,4,3,5,1.0
289,9,4,7,1.0
290,10,2,7,1.0
291,8,2,4,1.0
292,3,5,6,1.0
293,9,1,4,1.0
294,8,3,4,1.0
295,10,2,5,1.0
296,8,4,5,1.0
297,7,3,6,1.0
298,1,3,5,1.0
299,5,3,3,1.0
300,10,1,2,1.0
301,8,4,5,1.0
302,9,3,5,1.0
303,5,1,6,1.0
304,9,3,6,2.0
305,5,2,6,1.0
306,8,2,7,1.0
307,7,3,7,1.0
308,5,3,7,1.0
309,8,3,7,1.0
310,5,3,6,1.0
311,5,3,5,1.0
312,9,3,5,1.0
313,0,1,2,1.0
314,2,8,6,1.0
315,8,4,6,1.0
316,3,3,6,1.0
317,5,3,6,1.0
318,5,2,7,1.0
319,0,2,2,2.0
320,0,8,7,1.0
321,7,3,7,1.0
322,4,2,5,1.0
323,0,1,7,1.0
324,9,4,6,1.0
325,2,8,4,1.0
326,6,1,6,1.0
327,10,3,6,1.0
328,5,4,7,1.0
329,2,4,6,1.0
330,7,3,6,1.0
331,3,2,3,2.0
332,6,4,5,1.0
333,7,2,6,1.0
334,3,3,7,1.0
335,10,3,4,1.0
336,10,5,6,1.0
337,5,2,7,1.0
338,9,3,6,2.0
339,5,4,6,1.0
340,6,3,7,1.0
341,10,3,6,1.0
342,7,3,6,1.0
343,10,4,6,1.0
344,8,3,3,2.0
345,2,2,6,1.0
346,6,4,4,1.0
347,6,2,3,1.0
348,10,3,6,1.0
349,7,4,3,1.0
350,10,2,5,1.0
351,7,1,6,1.0
352,6,2,5,1.0
353,3,3,6,1.0
354,5,1,6,1.0
355,5,1,4,1.0
356,0,2,5,1.0
357,7,4,6,1.0
358,0,3,6,1.0
359,7,2,4,1.0
360,1,1,3,1.0
361,7,3,6,1.0
362,8,3,5,1.0
363,7,2,6,1.0
364,8,3,7,1.0
365,8,2,6,1.0
366,0,1,5,1.0
367,10,3,6,1.0
368,5,3,5,1.0
369,8,5,5,1.0
370,8,3,5,1.0
371,0,3,6,1.0
372,0,3,6,1.0
373,9,3,7,1.0
374,7,3,5,1.0
375,7,2,4,1.0
376,9,2,4,1.0
377,8,2,4,1.0
378,6,3,6,1.0
379,8,3,6,1.0
380,10,8,5,2.0
381,3,3,7,1.0
382,2,4,6,1.0
383,10,3,6,1.0
384,3,2,7,1.0
385,7,5,7,1.0
386,0,3,7,1.0
387,0,2,6,1.0
388,7,3,6,1.0
389,8,4,5,1.0
390,8,4,4,1.0
391,5,2,4,1.0
392,0,3,7,1.0
393,9,4,5,1.0
394,4,1,6,2.0
395,6,2,6,1.0
396,6,3,7,1.0
397,8,3,6,1.0
398,10,5,7,1.0
399,1,3,6,1.0
400,3,5,5,1.0
401,8,2,7,1.0
402,8,4,2,1.0
403,9,3,6,1.0
404,2,3,7,1.0
405,7,2,6,1.0
406,9,3,7,1.0
407,8,3,6,1.0
408,4,4,7,1.0
409,5,1,5,1.0
410,7,4,7,1.0
411,0,3,7,1.0
412,0,1,3,2.0
413,10,3,4,1.0
414,4,4,6,1.0
415,5,3,4,1.0
416,0,3,5,1.0
417,8,2,5,1.0
418,8,2,6,1.0
419,0,5,3,1.0
420,8,2,5,2.0
421,5,2,4,1.0
422,6,4,5,1.0
423,2,4,6,1.0
424,8,2,4,1.0
425,8,3,7,1.0
426,6,3,6,1.0
427,8,3,6,1.0
428,0,4,6,1.0
429,5,2,5,1.0
430,5,2,3,1.0
431,2,1,4,1.0
432,9,3,4,1.0
433,5,3,7,1.0
434,7,2,3,1.0
435,8,3,6,1.0
436,5,1,6,1.0
437,3,2,2,1.0
438,7,4,6,1.0
439,4,2,2,2.0
440,8,2,4,1.0
441,3,2,3,1.0
442,8,2,2,1.0
443,6,4,6,1.0
444,10,4,6,1.0
445,0,3,5,1.0
446,2,2,3,1.0
447,7,2,4,1.0
448,3,2,6,1.0
449,4,3,5,1.0
450,3,3,4,1.0
451,8,3,6,1.0
452,10,2,5,2.0
453,2,2,4,1.0
454,1,2,3,1.0
455,88,2,3,1.0
456,88,2,5,1.0
457,5,8,7,1.0
458,9,1,4,1.0
459,6,3,6,1.0
460,5,2,6,2.0
461,3,3,7,1.0
462,5,1,4,1.0
463,8,3,4,8.0
464,5,3,4,1.0
465,3,2,4,1.0
466,8,3,4,1.0
467,3,1,6,1.0
468,5,3,5,1.0
469,7,2,4,1.0
470,4,2,6,1.0
471,5,2,3,1.0
472,4,3,4,1.0
473,2,1,2,1.0
474,3,4,6,1.0
475,6,3,5,1.0
476,2,4,7,1.0
477,1,3,6,1.0
478,7,3,4,1.0
479,5,3,7,1.0
480,7,4,7,1.0
481,2,2,4,1.0
482,0,2,4,2.0
483,88,3,6,1.0
484,8,3,4,1.0
485,9,2,4,1.0
486,7,3,6,1.0
487,10,1,4,1.0
488,10,2,4,1.0
489,6,4,6,1.0
490,10,3,5,1.0
491,0,3,6,1.0
492,10,1,6,1.0
493,6,2,4,1.0
494,8,2,4,1.0
495,7,4,6,1.0
496,5,5,6,1.0
497,8,4,4,1.0
498,10,4,5,1.0
499,5,1,4,2.0
500,0,4,5,2.0
501,8,2,5,1.0
502,7,3,6,1.0
503,8,8,5,1.0
504,5,2,5,1.0
505,8,2,5,1.0
506,3,3,6,1.0
507,88,8,88,1.0
508,8,1,3,1.0
509,6,2,5,1.0
510,2,4,6,1.0
511,2,3,4,1.0
512,9,2,4,2.0
513,3,4,6,1.0
514,4,3,4,1.0
515,2,2,5,1.0
516,7,2,5,1.0
517,0,3,6,1.0
518,8,3,6,1.0
519,8,4,7,1.0
520,4,2,5,1.0
521,5,5,7,1.0
522,5,3,6,1.0
523,4,3,6,1.0
524,2,4,6,1.0
525,4,2,4,1.0
526,8,4,6,1.0
527,6,2,4,1.0
528,2,3,4,1.0
529,4,3,6,1.0
530,5,3,7,1.0
531,7,2,6,1.0
532,4,2,7,1.0
533,6,3,6,1.0
534,2,3,4,1.0
535,5,1,4,1.0
536,2,2,4,1.0
537,9,2,5,1.0
538,3,4,4,1.0
539,2,2,5,1.0
540,3,3,7,1.0
541,6,2,3,1.0
542,10,1,6,1.0
543,7,1,3,1.0
544,0,3,5,1.0
545,7,4,5,1.0
546,3,2,3,1.0
547,5,4,6,1.0
548,5,4,6,1.0
549,9,8,7,1.0
550,0,3,6,1.0
551,2,1,4,1.0
552,6,3,4,1.0
553,7,4,7,1.0
554,8,2,4,1.0
555,4,3,6,1.0
556,2,4,6,1.0
557,3,3,6,1.0
558,5,3,6,1.0
559,0,3,6,1.0
560,8,3,6,1.0
561,88,2,5,1.0
562,9,4,6,1.0
563,5,2,5,1.0
564,0,3,6,1.0
565,8,3,5,1.0
566,5,4,6,1.0
567,5,3,5,1.0
568,3,2,4,1.0
569,9,3,6,1.0
570,5,2,6,1.0
571,6,2,4,1.0
572,0,2,7,1.0
573,6,3,5,1.0
574,2,3,5,1.0
575,8,2,4,1.0
576,5,3,7,1.0
577,5,3,6,1.0
578,7,4,7,1.0
579,0,2,4,1.0
580,3,4,7,1.0
581,2,4,7,1.0
582,6,3,7,1.0
583,1,3,6,1.0
584,6,2,6,1.0
585,6,3,4,1.0
586,8,3,4,1.0
587,2,3,7,1.0
588,3,2,3,1.0
589,6,8,5,1.0
590,6,3,5,1.0
591,7,3,6,1.0
592,4,4,6,1.0
593,5,3,3,1.0
594,4,3,6,1.0
595,10,4,6,1.0
596,5,1,6,1.0
597,4,4,4,1.0
598,2,3,6,1.0
599,6,2,4,1.0
600,2,3,4,1.0
601,8,2,4,1.0
602,8,4,6,1.0
603,7,4,6,1.0
604,5,3,6,1.0
605,8,2,3,1.0
606,3,1,4,1.0
607,2,3,6,1.0
608,5,3,2,1.0
609,7,2,4,1.0
610,5,2,4,1.0
611,5,4,7,1.0
612,5,2,3,1.0
613,0,3,6,1.0
614,3,3,5,1.0
615,0,3,5,1.0
616,7,3,2,1.0
617,5,3,5,1.0
618,8,3,6,1.0
619,8,2,5,1.0
620,0,2,5,1.0
621,8,3,7,1.0
622,1,2,3,1.0
623,5,2,5,2.0
624,8,3,5,1.0
625,4,3,6,1.0
626,0,2,5,1.0
627,3,3,4,1.0
628,7,3,6,1.0
629,6,2,5,1.0
630,5,4,6,1.0
631,6,2,5,1.0
632,7,3,4,1.0
633,0,2,7,1.0
634,4,3,7,1.0
635,8,2,4,1.0
636,0,3,6,1.0
637,1,3,5,1.0
638,7,2,5,1.0
639,1,3,6,1.0
640,3,3,4,1.0
641,4,3,4,1.0
642,4,2,4,1.0
643,10,4,6,1.0
644,4,2,3,1.0
645,3,3,4,1.0
646,3,2,6,1.0
647,5,4,2,2.0
648,1,3,6,1.0
649,6,3,6,1.0
650,4,2,4,1.0
651,5,3,2,1.0
652,7,3,6,1.0
653,7,2,5,1.0
654,8,3,6,1.0
655,5,4,6,1.0
656,4,2,4,1.0
657,6,2,3,1.0
658,5,4,6,1.0
659,7,2,4,1.0
660,3,3,4,1.0
661,3,3,5,1.0
662,5,2,5,1.0
663,5,1,5,1.0
664,2,2,4,1.0
665,3,3,6,1.0
666,5,3,6,1.0
667,5,4,4,1.0
668,8,3,6,1.0
669,7,3,6,1.0
670,3,2,7,1.0
671,2,3,6,1.0
672,7,3,6,1.0
673,9,2,5,1.0
674,6,2,7,1.0
675,3,4,6,1.0
676,6,2,6,1.0
677,9,4,7,1.0
678,5,3,6,1.0
679,4,3,6,2.0
680,6,3,6,2.0
681,7,4,5,1.0
682,5,1,4,1.0
683,7,3,6,1.0
684,9,4,4,1.0
685,8,4,4,1.0
686,6,3,5,1.0
687,6,4,6,1.0
688,9,1,5,1.0
689,8,1,7,1.0
690,7,2,6,1.0
691,7,3,5,1.0
692,6,3,7,1.0
693,8,2,5,1.0
694,4,1,2,1.0
695,5,2,6,1.0
696,9,3,7,1.0
697,5,3,6,1.0
698,5,4,7,1.0
699,5,2,6,1.0
700,7,3,5,1.0
701,6,2,6,1.0
702,0,3,7,1.0
703,9,2,5,1.0
704,7,3,7,1.0
705,6,4,7,1.0
706,1,4,7,1.0
707,3,3,7,1.0
708,7,3,6,1.0
709,7,3,7,1.0
710,10,4,7,1.0
711,10,5,7,1.0
712,6,3,4,1.0
713,6,3,6,1.0
714,6,8,6,1.0
715,3,2,4,1.0
716,8,3,7,1.0
717,6,4,5,1.0
718,5,4,7,1.0
719,6,3,4,1.0
720,5,3,5,1.0
721,5,3,4,1.0
722,7,2,6,1.0
723,5,5,7,1.0
724,5,3,4,1.0
725,8,3,2,1.0
726,8,2,6,1.0
727,4,3,5,1.0
728,10,2,6,1.0
729,8,3,5,1.0
730,8,2,5,2.0
731,3,2,5,1.0
732,8,3,6,1.0
733,5,3,6,1.0
734,8,3,6,1.0
735,2,2,4,1.0
736,0,2,6,1.0
737,7,2,7,1.0
738,0,2,6,1.0
739,5,3,6,1.0
740,5,3,6,1.0
741,1,1,4,1.0
742,0,3,6,1.0
743,3,3,5,1.0
744,4,2,5,1.0
745,1,2,4,1.0
746,8,3,5,1.0
747,0,4,2,1.0
748,2,3,6,1.0
749,9,1,5,1.0
750,4,2,6,1.0
751,7,2,5,1.0
752,0,4,7,1.0
753,8,3,4,1.0
754,5,3,4,1.0
755,5,4,7,1.0
756,7,2,4,1.0
757,7,2,7,1.0
758,3,3,5,1.0
759,2,2,5,1.0
760,0,5,6,1.0
761,6,2,5,1.0
762,8,3,7,1.0
763,2,3,6,1.0
764,1,2,5,1.0
765,4,2,4,1.0
766,0,4,7,1.0
767,4,3,5,1.0
768,8,4,6,1.0
769,1,3,6,1.0
770,5,4,4,1.0
771,0,3,6,1.0
772,2,3,6,1.0
773,0,3,7,1.0
774,4,3,5,1.0
775,1,3,5,1.0
776,0,4,6,1.0
777,8,3,6,1.0
778,5,3,7,1.0
779,6,3,6,1.0
780,5,3,4,1.0
781,6,3,6,1.0
782,4,2,4,1.0
783,3,1,2,1.0
784,4,4,6,1.0
785,0,3,7,1.0
786,6,3,4,1.0
787,1,1,7,1.0
788,0,3,5,1.0
789,3,2,4,1.0
790,0,3,6,1.0
791,5,3,6,1.0
792,10,3,7,1.0
793,3,3,6,1.0
794,1,3,6,1.0
795,8,3,4,1.0
796,8,3,4,1.0
797,10,1,4,1.0
798,5,3,4,1.0
799,5,3,5,1.0
800,8,2,4,1.0
801,5,3,6,1.0
802,5,3,6,1.0
803,5,5,6,1.0
804,3,3,7,1.0
805,0,5,6,1.0
806,0,3,7,1.0
807,5,2,6,1.0
808,7,3,5,1.0
809,10,3,7,1.0
810,7,1,5,1.0
811,5,3,6,1.0
812,3,2,4,1.0
813,4,4,6,1.0
814,2,2,6,1.0
815,1,3,5,1.0
816,4,2,3,1.0
817,5,2,4,1.0
818,9,3,5,1.0
819,8,1,7,1.0
820,8,3,4,1.0
821,6,1,6,1.0
822,8,3,3,1.0
823,5,3,7,1.0
824,3,2,4,1.0
825,8,2,3,1.0
826,6,4,3,1.0
827,6,4,6,1.0
828,2,3,6,1.0
829,0,3,6,1.0
830,7,2,4,1.0
831,5,3,6,1.0
832,2,3,6,1.0
833,3,4,6,1.0
834,9,2,6,1.0
835,2,3,6,1.0
836,7,8,5,1.0
837,7,3,6,1.0
838,5,3,4,1.0
839,9,1,2,1.0
840,5,2,2,1.0
841,2,2,5,1.0
842,3,3,4,1.0
843,1,3,6,1.0
844,0,2,5,1.0
845,0,3,6,1.0
846,7,3,7,1.0
847,8,3,4,1.0
848,9,3,5,1.0
849,0,4,6,1.0
850,8,3,6,1.0
851,6,2,6,1.0
852,6,3,4,1.0
853,5,3,2,8.0
854,5,3,5,1.0
855,8,3,7,1.0
856,7,3,5,1.0
857,0,1,1,1.0
858,4,3,6,1.0
859,6,2,3,1.0
860,8,8,4,1.0
861,0,2,5,1.0
862,5,3,4,2.0
863,8,1,2,1.0
864,6,3,4,1.0
865,4,3,6,1.0
866,7,2,5,1.0
867,5,1,6,1.0
868,9,2,5,1.0
869,5,3,4,1.0
870,10,2,4,1.0
871,6,4,6,1.0
872,8,3,5,1.0
873,5,3,6,1.0
874,4,3,5,1.0
875,8,3,6,1.0
876,5,2,5,1.0
877,5,2,6,1.0
878,9,2,4,1.0
879,7,2,5,1.0
880,10,2,6,1.0
881,7,2,7,1.0
882,2,4,6,1.0
883,8,2,5,1.0
884,10,3,6,1.0
885,0,3,6,1.0
886,3,4,6,1.0
887,8,2,6,1.0
888,3,3,4,1.0
889,10,5,6,1.0
890,9,1,6,1.0
891,0,1,5,1.0
892,2,3,6,1.0
893,6,4,5,1.0
894,5,3,4,1.0
895,8,4,6,1.0
896,5,2,5,1.0
897,5,3,5,1.0
898,1,2,3,1.0
899,10,2,6,1.0
900,3,3,6,1.0
901,7,2,5,1.0
902,7,4,5,1.0
903,5,3,5,1.0
904,3,2,4,1.0
905,1,4,6,1.0
906,7,2,4,1.0
907,5,3,4,1.0
908,9,3,6,1.0
909,10,3,5,1.0
910,8,2,5,1.0
911,5,3,4,1.0
912,8,3,4,1.0
913,7,3,5,1.0
914,8,3,5,1.0
915,9,4,6,1.0
916,3,3,6,1.0
917,6,2,4,1.0
918,2,3,6,1.0
919,3,4,6,1.0
920,9,3,6,1.0
921,9,3,5,1.0
922,5,3,4,1.0
923,8,2,3,2.0
924,6,2,3,1.0
925,1,2,4,2.0
926,0,3,5,1.0
927,8,3,4,1.0
928,2,3,5,1.0
929,5,3,4,1.0
930,7,3,6,1.0
931,1,3,7,1.0
932,1,2,4,1.0
933,88,3,6,1.0
934,8,2,5,1.0
935,7,2,5,1.0
936,7,3,5,1.0
937,8,2,3,1.0
938,7,2,5,1.0
939,4,2,4,1.0
940,4,3,5,1.0
941,0,4,6,1.0
942,6,4,4,1.0
943,3,3,3,1.0
944,3,3,6,1.0
945,3,3,5,2.0
946,7,2,6,1.0
947,6,3,5,1.0
948,2,3,6,1.0
949,4,3,6,1.0
950,5,3,6,1.0
951,4,4,6,1.0
952,3,2,4,1.0
953,7,2,6,1.0
954,3,2,5,1.0
955,5,2,3,1.0
956,7,4,7,1.0
957,10,1,4,1.0
958,7,2,5,1.0
959,5,3,4,1.0
960,6,3,5,1.0
961,5,3,6,1.0
962,9,3,3,1.0
963,6,3,6,1.0
964,2,2,4,1.0
965,1,2,4,1.0
966,4,4,5,1.0
967,7,3,4,1.0
968,7,3,5,1.0
969,7,4,5,1.0
970,2,2,5,1.0
971,4,3,6,1.0
972,1,3,6,1.0
973,6,3,5,1.0
974,3,4,6,1.0
975,5,1,3,1.0
976,3,2,5,1.0
977,5,2,6,1.0
978,0,1,5,2.0
979,6,2,6,1.0
980,6,2,4,1.0
981,5,3,5,1.0
982,4,2,4,1.0
983,3,3,4,1.0
984,5,3,2,1.0
985,3,3,5,1.0
986,4,3,4,1.0
987,2,8,4,1.0
988,6,3,4,1.0
989,6,1,2,1.0
990,0,1,5,1.0
991,1,3,6,1.0
992,5,5,7,1.0
993,8,2,6,1.0
994,1,5,5,1.0
995,3,3,6,2.0
996,2,2,3,1.0
997,0,2,6,1.0
998,7,2,5,2.0
999,10,1,7,1.0
1000,5,3,6,1.0
1001,5,3,5,1.0
1002,8,3,6,1.0
1003,4,3,5,1.0
1004,2,3,3,1.0
1005,8,5,7,1.0
1006,5,3,6,1.0
1007,5,3,5,1.0
1008,7,1,6,1.0
1009,6,2,2,1.0
1010,4,2,2,1.0
1011,8,2,6,1.0
1012,5,3,5,1.0
1013,9,2,6,1.0
1014,5,2,3,1.0
1015,6,4,6,1.0
1016,0,3,6,1.0
1017,7,3,6,1.0
1018,2,2,4,1.0
1019,2,3,5,1.0
1020,8,4,7,1.0
1021,7,2,3,1.0
1022,1,2,7,1.0
1023,8,4,7,1.0
1024,7,5,7,1.0
1025,8,8,5,1.0
1026,4,3,5,1.0
1027,6,1,3,1.0
1028,5,3,6,1.0
1029,2,3,7,1.0
1030,5,2,3,1.0
1031,8,2,4,1.0
1032,9,3,5,1.0
1033,9,3,6,1.0
1034,5,5,6,1.0
1035,2,3,5,1.0
1036,3,2,6,1.0
1037,5,2,3,1.0
1038,1,3,5,1.0
1039,6,2,4,1.0
1040,5,3,6,1.0
1041,5,2,3,1.0
1042,10,2,5,1.0
1043,9,2,6,1.0
1044,6,3,6,1.0
1045,5,3,6,1.0
1046,5,2,4,1.0
1047,8,4,4,1.0
1048,8,4,5,1.0
1049,5,4,6,1.0
1050,9,3,4,1.0
1051,3,3,6,8.0
1052,8,8,5,1.0
1053,5,2,6,1.0
1054,8,5,7,1.0
1055,8,8,6,1.0
1056,3,4,7,1.0
1057,8,4,4,1.0
1058,5,3,6,1.0
1059,10,3,4,1.0
1060,5,1,6,1.0
1061,7,1,5,1.0
1062,8,2,5,1.0
1063,8,2,3,2.0
1064,9,3,6,1.0
1065,8,4,5,1.0
1066,0,1,2,1.0
1067,7,4,7,1.0
1068,6,3,7,1.0
1069,6,3,5,1.0
1070,7,4,5,2.0
1071,1,2,5,1.0
1072,4,2,7,1.0
1073,9,3,6,1.0
1074,9,3,5,1.0
1075,3,2,5,1.0
1076,8,3,4,1.0
1077,8,3,5,1.0
1078,8,3,6,1.0
1079,3,3,4,1.0
1080,5,3,3,1.0
1081,5,4,6,1.0
1082,5,3,3,1.0
1083,5,2,6,1.0
1084,7,4,6,1.0
1085,1,3,6,1.0
1086,6,3,6,1.0
1087,4,4,5,1.0
1088,8,3,6,1.0
1089,3,4,4,1.0
1090,1,3,6,1.0
1091,7,3,7,1.0
1092,5,2,7,1.0
1093,3,2,5,1.0
1094,6,2,5,1.0
1095,5,4,6,1.0
1096,3,3,6,1.0
1097,5,3,5,1.0
1098,7,3,4,1.0
1099,5,2,6,1.0
1100,0,2,6,1.0
1101,4,2,6,1.0
1102,7,1,4,1.0
1103,8,4,5,1.0
1104,9,4,7,1.0
1105,3,4,6,1.0
1106,4,2,5,1.0
1107,6,4,7,1.0
1108,6,3,5,1.0
1109,5,3,4,1.0
1110,7,4,6,1.0
1111,1,4,7,1.0
1112,7,3,6,1.0
1113,1,2,5,1.0
1114,6,3,6,1.0
1115,8,3,6,1.0
1116,5,3,4,1.0
1117,5,3,6,1.0
1118,88,4,4,1.0
1119,4,3,5,1.0
1120,3,3,4,1.0
1121,5,3,5,1.0
1122,8,2,2,1.0
1123,5,3,5,1.0
1124,5,3,6,1.0
1125,8,3,3,1.0
1126,5,4,4,1.0
1127,7,1,6,1.0
1128,7,3,6,1.0
1129,3,3,6,1.0
1130,8,3,4,1.0
1131,1,1,4,1.0
1132,6,3,6,1.0
1133,4,1,4,1.0
1134,5,2,6,1.0
1135,5,2,3,1.0
1136,3,2,4,1.0
1137,8,2,6,1.0
1138,4,3,5,1.0
1139,8,3,6,1.0
1140,5,3,5,1.0
1141,5,2,4,1.0
1142,6,3,6,1.0
1143,1,1,6,1.0
1144,8,4,6,2.0
1145,3,3,4,1.0
1146,7,3,6,1.0
1147,3,3,6,1.0
1148,10,4,6,1.0
1149,6,1,3,1.0
