respondent_id,trust_scientists,value_new_experiences,value_new_experiences_a,value_help_others,value_help_others_a
140,,4.0,,3.0,
141,,1.0,,1.0,
142,,3.0,,3.0,
143,,5.0,,1.0,
144,,4.0,,6.0,
145,,3.0,,3.0,
146,,2.0,,2.0,
147,,3.0,,3.0,
148,,3.0,,2.0,
149,,4.0,,3.0,
150,,4.0,,3.0,
151,,2.0,,2.0,
152,,3.0,,3.0,
153,,2.0,,4.0,
154,,2.0,,2.0,
155,,3.0,,5.0,
156,,1.0,,2.0,
157,,2.0,,1.0,
158,,4.0,,2.0,
159,,4.0,,2.0,
160,,2.0,,2.0,
161,,3.0,,2.0,
162,,2.0,,2.0,
163,,1.0,,2.0,
164,,2.0,,2.0,
165,,2.0,,3.0,
166,,1.0,,3.0,
167,,4.0,,3.0,
168,,1.0,,1.0,
169,,1.0,,1.0,
170,,3.0,,3.0,
171,,2.0,,2.0,
172,,2.0,,3.0,
173,,4.0,,3.0,
174,,2.0,,2.0,
175,,4.0,,4.0,
176,,4.0,,3.0,
177,,4.0,,6.0,
178,,5.0,,3.0,
179,,2.0,,2.0,
180,,5.0,,3.0,
181,,4.0,,2.0,
182,,3.0,,2.0,
183,,1.0,,2.0,
184,,2.0,,2.0,
185,,3.0,,2.0,
186,,2.0,,1.0,
187,,4.0,,1.0,
188,,3.0,,1.0,
189,,1.0,,3.0,
190,,5.0,,1.0,
191,,2.0,,2.0,
192,,1.0,,1.0,
193,,3.0,,2.0,
194,,1.0,,1.0,
195,,2.0,,2.0,
196,,4.0,,3.0,
197,,1.0,,1.0,
198,,3.0,,2.0,
199,,1.0,,2.0,
200,,5.0,,2.0,
201,,4.0,,3.0,
202,,2.0,,2.0,
203,,1.0,,1.0,
204,,4.0,,2.0,
205,,4.0,,1.0,
206,,1.0,,2.0,
207,,1.0,,3.0,
208,,2.0,,3.0,
209,,2.0,,2.0,
210,,1.0,,1.0,
211,,4.0,,3.0,
212,,5.0,,2.0,
213,,2.0,,3.0,
214,,3.0,,1.0,
215,,4.0,,3.0,
216,,2.0,,2.0,
217,,3.0,,3.0,
218,,1.0,,2.0,
219,,2.0,,2.0,
220,,3.0,,3.0,
221,,5.0,,3.0,
222,,3.0,,2.0,
223,,3.0,,1.0,
224,,2.0,,2.0,
225,,4.0,,2.0,
226,,3.0,,3.0,
227,,2.0,,3.0,
228,,2.0,,2.0,
229,,4.0,,2.0,
230,,2.0,,2.0,
231,,1.0,,2.0,
232,,1.0,,1.0,
233,,3.0,,3.0,
234,,3.0,,4.0,
235,,2.0,,3.0,
236,,1.0,,3.0,
237,,4.0,,3.0,
238,,3.0,,3.0,
239,,5.0,,2.0,
240,,3.0,,2.0,
241,,5.0,,4.0,
242,,3.0,,3.0,
243,,2.0,,2.0,
244,,3.0,,3.0,
245,,3.0,,3.0,
246,,3.0,,3.0,
247,,2.0,,2.0,
248,,4.0,,3.0,
249,,2.0,,3.0,
250,,3.0,,8.0,
251,,4.0,,2.0,
252,,1.0,,6.0,
253,,3.0,,1.0,
254,,4.0,,2.0,
255,,1.0,,1.0,
256,,5.0,,4.0,
257,,2.0,,2.0,
258,,4.0,,4.0,
259,,1.0,,1.0,
260,,2.0,,2.0,
261,,2.0,,2.0,
262,,2.0,,3.0,
263,,2.0,,2.0,
264,,3.0,,2.0,
265,,2.0,,2.0,
266,,3.0,,2.0,
267,,2.0,,1.0,
268,,1.0,,2.0,
269,,3.0,,3.0,
270,,2.0,,3.0,
271,,2.0,,2.0,
272,,2.0,,3.0,
273,,1.0,,1.0,
274,,3.0,,2.0,
275,,2.0,,2.0,
276,,2.0,,1.0,
277,,6.0,,2.0,
278,,3.0,,2.0,
279,,2.0,,2.0,
280,,3.0,,2.0,
281,,4.0,,2.0,
282,,1.0,,1.0,
283,,4.0,,4.0,
284,,1.0,,2.0,
285,,2.0,,2.0,
286,,4.0,,2.0,
287,,3.0,,2.0,
288,,1.0,,3.0,
289,,1.0,,1.0,
290,,4.0,,3.0,
291,,4.0,,2.0,
292,,1.0,,1.0,
293,,8.0,,2.0,
294,,3.0,,3.0,
295,,6.0,,1.0,
296,,3.0,,1.0,
297,,3.0,,2.0,
298,,3.0,,1.0,
299,,2.0,,3.0,
300,,3.0,,3.0,
301,,1.0,,2.0,
302,,4.0,,3.0,
303,,4.0,,3.0,
304,,1.0,,1.0,
305,,2.0,,3.0,
306,,2.0,,2.0,
307,,3.0,,1.0,
308,,1.0,,3.0,
309,,3.0,,3.0,
310,,2.0,,2.0,
311,,3.0,,2.0,
312,,1.0,,4.0,
313,,1.0,,1.0,
314,,3.0,,2.0,
315,,1.0,,1.0,
316,,2.0,,2.0,
317,,1.0,,2.0,
318,,1.0,,2.0,
319,,1.0,,8.0,
320,,1.0,,3.0,
321,,2.0,,2.0,
322,,5.0,,3.0,
323,,1.0,,3.0,
324,,5.0,,1.0,
325,,2.0,,2.0,
326,,2.0,,2.0,
327,,3.0,,2.0,
328,,3.0,,3.0,
329,,2.0,,4.0,
330,,1.0,,2.0,
331,,1.0,,1.0,
332,,3.0,,3.0,
333,,1.0,,1.0,
334,,5.0,,3.0,
335,,5.0,,2.0,
336,,1.0,,1.0,
337,,5.0,,2.0,
338,,6.0,,2.0,
339,,1.0,,1.0,
340,,1.0,,1.0,
341,,4.0,,3.0,
342,,2.0,,2.0,
343,,2.0,,2.0,
344,,5.0,,2.0,
345,,1.0,,1.0,
346,,1.0,,2.0,
347,,3.0,,1.0,
348,,2.0,,2.0,
349,,2.0,,2.0,
350,,3.0,,2.0,
351,,2.0,,1.0,
352,,3.0,,2.0,
353,,2.0,,2.0,
354,,3.0,,3.0,
355,,3.0,,4.0,
356,,4.0,,2.0,
357,,1.0,,2.0,
358,,2.0,,1.0,
359,,6.0,,1.0,
360,,3.0,,3.0,
361,,2.0,,1.0,
362,,3.0,,1.0,
363,,2.0,,3.0,
364,,3.0,,1.0,
365,,2.0,,1.0,
366,,3.0,,3.0,
367,,1.0,,1.0,
368,,2.0,,1.0,
369,,3.0,,1.0,
370,,2.0,,1.0,
371,,2.0,,3.0,
372,,4.0,,3.0,
373,,2.0,,2.0,
374,,3.0,,2.0,
375,,4.0,,2.0,
376,,1.0,,1.0,
377,,4.0,,2.0,
378,,1.0,,1.0,
379,,2.0,,3.0,
380,,8.0,,8.0,
381,,4.0,,3.0,
382,,2.0,,1.0,
383,,2.0,,1.0,
384,,2.0,,2.0,
385,,3.0,,3.0,
386,,1.0,,2.0,
387,,2.0,,2.0,
388,,3.0,,3.0,
389,,1.0,,4.0,
390,,3.0,,3.0,
391,,2.0,,2.0,
392,,3.0,,3.0,
393,,2.0,,3.0,
394,,3.0,,1.0,
395,,1.0,,3.0,
396,,5.0,,3.0,
397,,2.0,,1.0,
398,,2.0,,1.0,
399,,4.0,,2.0,
400,,1.0,,1.0,
401,,1.0,,2.0,
402,,1.0,,1.0,
403,,4.0,,1.0,
404,,4.0,,1.0,
405,,2.0,,3.0,
406,,2.0,,1.0,
407,,4.0,,1.0,
408,,3.0,,2.0,
409,,3.0,,1.0,
410,,1.0,,1.0,
411,,2.0,,3.0,
412,,1.0,,1.0,
413,,5.0,,2.0,
414,,3.0,,2.0,
415,,2.0,,2.0,
416,,2.0,,2.0,
417,,1.0,,3.0,
418,,6.0,,1.0,
419,,1.0,,2.0,
420,,4.0,,4.0,
421,,4.0,,3.0,
422,,3.0,,2.0,
423,,3.0,,3.0,
424,,1.0,,3.0,
425,,4.0,,2.0,
426,,3.0,,2.0,
427,,2.0,,2.0,
428,,2.0,,2.0,
429,,1.0,,3.0,
430,,6.0,,3.0,
431,,2.0,,4.0,
432,,4.0,,1.0,
433,,1.0,,3.0,
434,,6.0,,3.0,
435,,3.0,,3.0,
436,,2.0,,2.0,
437,,2.0,,1.0,
438,,5.0,,3.0,
439,,3.0,,3.0,
440,,5.0,,4.0,
441,,5.0,,2.0,
442,,3.0,,2.0,
443,,2.0,,1.0,
444,,3.0,,2.0,
445,,2.0,,4.0,
446,,3.0,,2.0,
447,,4.0,,2.0,
448,,2.0,,3.0,
449,,2.0,,2.0,
450,,1.0,,2.0,
451,,2.0,,2.0,
452,,2.0,,2.0,
453,,1.0,,2.0,
454,,2.0,,2.0,
455,,8.0,,3.0,
456,,1.0,,2.0,
457,,2.0,,1.0,
458,,1.0,,1.0,
459,,1.0,,2.0,
460,,2.0,,1.0,
461,,3.0,,2.0,
462,,2.0,,3.0,
463,,6.0,,4.0,
464,,3.0,,2.0,
465,,3.0,,4.0,
466,,2.0,,2.0,
467,,2.0,,3.0,
468,,2.0,,2.0,
469,,3.0,,2.0,
470,,1.0,,2.0,
471,,2.0,,2.0,
472,,2.0,,2.0,
473,,5.0,,5.0,
474,,4.0,,2.0,
475,,1.0,,3.0,
476,,2.0,,3.0,
477,,1.0,,1.0,
478,,5.0,,4.0,
479,,2.0,,2.0,
480,,2.0,,2.0,
481,,4.0,,3.0,
482,,1.0,,1.0,
483,,3.0,,2.0,
484,,1.0,,1.0,
485,,2.0,,1.0,
486,,4.0,,3.0,
487,,2.0,,1.0,
488,,4.0,,2.0,
489,,2.0,,3.0,
490,,1.0,,3.0,
491,,4.0,,3.0,
492,,1.0,,3.0,
493,,2.0,,2.0,
494,,3.0,,3.0,
495,,3.0,,3.0,
496,,3.0,,2.0,
497,,4.0,,3.0,
498,,3.0,,2.0,
499,,6.0,,2.0,
500,,2.0,,2.0,
501,,8.0,,3.0,
502,,4.0,,2.0,
503,,4.0,,2.0,
504,,1.0,,2.0,
505,,5.0,,3.0,
506,,4.0,,3.0,
507,,8.0,,2.0,
508,,2.0,,1.0,
509,,2.0,,2.0,
510,,1.0,,2.0,
511,,2.0,,2.0,
512,,3.0,,2.0,
513,,2.0,,2.0,
514,,4.0,,2.0,
515,,4.0,,3.0,
516,,5.0,,1.0,
517,,4.0,,3.0,
518,,3.0,,2.0,
519,,5.0,,2.0,
520,,4.0,,2.0,
521,,1.0,,3.0,
522,,2.0,,2.0,
523,,2.0,,2.0,
524,,3.0,,2.0,
525,,2.0,,2.0,
526,,2.0,,2.0,
527,,4.0,,1.0,
528,,5.0,,1.0,
529,,4.0,,3.0,
530,,2.0,,3.0,
531,,2.0,,2.0,
532,,3.0,,5.0,
533,,2.0,,1.0,
534,,2.0,,1.0,
535,,2.0,,2.0,
536,,5.0,,1.0,
537,,4.0,,2.0,
538,,1.0,,3.0,
539,,1.0,,2.0,
540,,1.0,,1.0,
541,,4.0,,2.0,
542,,1.0,,1.0,
543,,4.0,,2.0,
544,,3.0,,2.0,
545,,1.0,,2.0,
546,,3.0,,2.0,
547,,5.0,,2.0,
548,,1.0,,3.0,
549,,4.0,,1.0,
550,,2.0,,4.0,
551,,5.0,,2.0,
552,,3.0,,2.0,
553,,2.0,,3.0,
554,,3.0,,1.0,
555,,2.0,,1.0,
556,,1.0,,2.0,
557,,3.0,,3.0,
558,,3.0,,2.0,
559,,3.0,,3.0,
560,,4.0,,8.0,
561,,3.0,,4.0,
562,,2.0,,1.0,
563,,2.0,,1.0,
564,,2.0,,3.0,
565,,2.0,,2.0,
566,,2.0,,2.0,
567,,2.0,,3.0,
568,,2.0,,3.0,
569,,4.0,,4.0,
570,,2.0,,2.0,
571,,2.0,,2.0,
572,,2.0,,3.0,
573,,1.0,,1.0,
574,,3.0,,2.0,
575,,5.0,,1.0,
576,,2.0,,3.0,
577,,3.0,,2.0,
578,,3.0,,2.0,
579,,2.0,,5.0,
580,,3.0,,2.0,
581,,2.0,,2.0,
582,,1.0,,1.0,
583,,1.0,,2.0,
584,,5.0,,2.0,
585,,2.0,,2.0,
586,,4.0,,4.0,
587,,2.0,,2.0,
588,,3.0,,3.0,
589,,5.0,,2.0,
590,,5.0,,2.0,
591,,2.0,,2.0,
592,,2.0,,2.0,
593,,5.0,,3.0,
594,,1.0,,3.0,
595,,1.0,,1.0,
596,,6.0,,2.0,
597,,2.0,,2.0,
598,,2.0,,2.0,
599,,2.0,,2.0,
600,,4.0,,1.0,
601,,3.0,,2.0,
602,,2.0,,2.0,
603,,4.0,,2.0,
604,,3.0,,1.0,
605,,3.0,,1.0,
606,,3.0,,4.0,
607,,1.0,,3.0,
608,,3.0,,2.0,
609,,4.0,,1.0,
610,,5.0,,3.0,
611,,3.0,,4.0,
612,,4.0,,4.0,
613,,2.0,,2.0,
614,,3.0,,3.0,
615,,1.0,,1.0,
616,,2.0,,2.0,
617,,2.0,,1.0,
618,,2.0,,2.0,
619,,4.0,,5.0,
620,,3.0,,2.0,
621,,2.0,,1.0,
622,,4.0,,4.0,
623,,1.0,,2.0,
624,,3.0,,3.0,
625,,2.0,,1.0,
626,,5.0,,5.0,
627,,3.0,,3.0,
628,,3.0,,2.0,
629,,3.0,,1.0,
630,,2.0,,2.0,
631,,3.0,,3.0,
632,,4.0,,3.0,
633,,4.0,,2.0,
634,,3.0,,2.0,
635,,3.0,,3.0,
636,,2.0,,4.0,
637,,2.0,,2.0,
638,,5.0,,3.0,
639,,1.0,,2.0,
640,,4.0,,4.0,
641,,2.0,,3.0,
642,,4.0,,2.0,
643,,2.0,,1.0,
644,,2.0,,3.0,
645,,3.0,,2.0,
646,,5.0,,2.0,
647,,2.0,,2.0,
648,,1.0,,3.0,
649,,3.0,,2.0,
650,,1.0,,1.0,
651,,3.0,,2.0,
652,,3.0,,2.0,
653,,4.0,,2.0,
654,,2.0,,2.0,
655,,1.0,,2.0,
656,,1.0,,3.0,
657,,8.0,,3.0,
658,,4.0,,2.0,
659,,1.0,,1.0,
660,,5.0,,2.0,
661,,2.0,,2.0,
662,,4.0,,4.0,
663,,4.0,,3.0,
664,,1.0,,2.0,
665,,3.0,,1.0,
666,,3.0,,2.0,
667,,2.0,,2.0,
668,,3.0,,2.0,
669,,2.0,,3.0,
670,,2.0,,4.0,
671,,3.0,,3.0,
672,,2.0,,2.0,
673,,5.0,,3.0,
674,,2.0,,2.0,
675,,3.0,,2.0,
676,,6.0,,2.0,
677,,1.0,,2.0,
678,,2.0,,2.0,
679,,4.0,,4.0,
680,,6.0,,3.0,
681,,3.0,,2.0,
682,,2.0,,4.0,
683,,4.0,,4.0,
684,,2.0,,2.0,
685,,5.0,,2.0,
686,,2.0,,3.0,
687,,2.0,,1.0,
688,,4.0,,3.0,
689,,2.0,,2.0,
690,,3.0,,3.0,
691,,6.0,,5.0,
692,,1.0,,3.0,
693,,3.0,,2.0,
694,,1.0,,1.0,
695,,1.0,,1.0,
696,,2.0,,1.0,
697,,1.0,,1.0,
698,,2.0,,5.0,
699,,2.0,,1.0,
700,,1.0,,1.0,
701,,5.0,,1.0,
702,,1.0,,1.0,
703,,2.0,,2.0,
704,,2.0,,2.0,
705,,2.0,,3.0,
706,,1.0,,1.0,
707,,2.0,,2.0,
708,,2.0,,2.0,
709,,1.0,,1.0,
710,,1.0,,1.0,
711,,2.0,,1.0,
712,,3.0,,2.0,
713,,3.0,,3.0,
714,,3.0,,2.0,
715,,4.0,,4.0,
716,,3.0,,1.0,
717,,2.0,,2.0,
718,,2.0,,2.0,
719,,4.0,,3.0,
720,,2.0,,2.0,
721,,2.0,,2.0,
722,,2.0,,2.0,
723,,1.0,,1.0,
724,,5.0,,1.0,
725,,5.0,,2.0,
726,,3.0,,3.0,
727,,3.0,,3.0,
728,,5.0,,2.0,
729,,5.0,,2.0,
730,,5.0,,1.0,
731,,1.0,,2.0,
732,,3.0,,2.0,
733,,4.0,,2.0,
734,,4.0,,3.0,
735,,1.0,,1.0,
736,,1.0,,2.0,
737,,2.0,,3.0,
738,,2.0,,1.0,
739,,2.0,,3.0,
740,,1.0,,5.0,
741,,3.0,,2.0,
742,,2.0,,4.0,
743,,2.0,,2.0,
744,,2.0,,1.0,
745,,6.0,,2.0,
746,,1.0,,4.0,
747,,4.0,,3.0,
748,,2.0,,1.0,
749,,3.0,,2.0,
750,,2.0,,2.0,
751,,4.0,,2.0,
752,,4.0,,1.0,
753,,5.0,,3.0,
754,,3.0,,2.0,
755,,1.0,,2.0,
756,,4.0,,1.0,
757,,2.0,,2.0,
758,,2.0,,2.0,
759,,5.0,,1.0,
760,,2.0,,2.0,
761,,3.0,,3.0,
762,,2.0,,2.0,
763,,2.0,,2.0,
764,,1.0,,1.0,
765,,2.0,,2.0,
766,,4.0,,4.0,
767,,3.0,,2.0,
768,,3.0,,2.0,
769,,2.0,,2.0,
770,,2.0,,2.0,
771,,2.0,,4.0,
772,,3.0,,1.0,
773,,3.0,,4.0,
774,,1.0,,1.0,
775,,2.0,,2.0,
776,,3.0,,2.0,
777,,1.0,,1.0,
778,,3.0,,3.0,
779,,3.0,,2.0,
780,,3.0,,2.0,
781,,1.0,,1.0,
782,,1.0,,1.0,
783,,4.0,,1.0,
784,,2.0,,1.0,
785,,4.0,,1.0,
786,,3.0,,2.0,
787,,2.0,,1.0,
788,,1.0,,1.0,
789,,6.0,,5.0,
790,,5.0,,3.0,
791,,4.0,,2.0,
792,,3.0,,1.0,
793,,4.0,,3.0,
794,,4.0,,2.0,
795,,4.0,,2.0,
796,,4.0,,4.0,
797,,5.0,,2.0,
798,,4.0,,2.0,
799,,4.0,,2.0,
800,,3.0,,2.0,
801,,2.0,,2.0,
802,,3.0,,4.0,
803,,2.0,,2.0,
804,,2.0,,2.0,
805,,2.0,,1.0,
806,,3.0,,1.0,
807,,1.0,,2.0,
808,,4.0,,1.0,
809,,3.0,,3.0,
810,,5.0,,2.0,
811,,6.0,,2.0,
812,,4.0,,2.0,
813,,1.0,,1.0,
814,,2.0,,2.0,
815,,5.0,,4.0,
816,,4.0,,3.0,
817,,2.0,,2.0,
818,,5.0,,2.0,
819,,5.0,,1.0,
820,,2.0,,2.0,
821,,1.0,,1.0,
822,,3.0,,1.0,
823,,2.0,,1.0,
824,,2.0,,1.0,
825,,5.0,,2.0,
826,,4.0,,5.0,
827,,8.0,,8.0,
828,,1.0,,2.0,
829,,5.0,,1.0,
830,,4.0,,3.0,
831,,1.0,,1.0,
832,,2.0,,2.0,
833,,1.0,,4.0,
834,,6.0,,1.0,
835,,2.0,,3.0,
836,,5.0,,3.0,
837,,1.0,,1.0,
838,,1.0,,2.0,
839,,2.0,,2.0,
840,,4.0,,3.0,
841,,2.0,,2.0,
842,,4.0,,3.0,
843,,4.0,,3.0,
844,,5.0,,2.0,
845,,2.0,,1.0,
846,,2.0,,2.0,
847,,5.0,,2.0,
848,,2.0,,2.0,
849,,1.0,,2.0,
850,,6.0,,1.0,
851,,4.0,,2.0,
852,,5.0,,1.0,
853,,5.0,,2.0,
854,,2.0,,2.0,
855,,5.0,,2.0,
856,,4.0,,2.0,
857,,1.0,,1.0,
858,,3.0,,3.0,
859,,2.0,,3.0,
860,,4.0,,2.0,
861,,4.0,,2.0,
862,,5.0,,2.0,
863,,6.0,,4.0,
864,,3.0,,2.0,
865,,3.0,,2.0,
866,,4.0,,2.0,
867,,2.0,,2.0,
868,,3.0,,1.0,
869,,3.0,,2.0,
870,,4.0,,2.0,
871,,3.0,,2.0,
872,,3.0,,3.0,
873,,5.0,,4.0,
874,,5.0,,2.0,
875,,2.0,,3.0,
876,,2.0,,1.0,
877,,4.0,,1.0,
878,,4.0,,2.0,
879,,3.0,,2.0,
880,,4.0,,2.0,
881,,3.0,,1.0,
882,,1.0,,1.0,
883,,2.0,,1.0,
884,,5.0,,1.0,
885,,6.0,,1.0,
886,,2.0,,3.0,
887,,1.0,,1.0,
888,,4.0,,3.0,
889,,1.0,,1.0,
890,,1.0,,1.0,
891,,5.0,,1.0,
892,,3.0,,3.0,
893,,1.0,,3.0,
894,,2.0,,1.0,
895,,3.0,,2.0,
896,,3.0,,2.0,
897,,5.0,,3.0,
898,,2.0,,2.0,
899,,5.0,,2.0,
900,,2.0,,2.0,
901,,2.0,,2.0,
902,,2.0,,2.0,
903,,4.0,,4.0,
904,,2.0,,2.0,
905,,6.0,,3.0,
906,,3.0,,3.0,
907,,4.0,,3.0,
908,,1.0,,2.0,
909,,5.0,,3.0,
910,,5.0,,3.0,
911,,3.0,,3.0,
912,,4.0,,2.0,
913,,3.0,,3.0,
914,,4.0,,2.0,
915,,3.0,,2.0,
916,,1.0,,3.0,
917,,2.0,,3.0,
918,,2.0,,2.0,
919,,6.0,,1.0,
920,,1.0,,1.0,
921,,2.0,,1.0,
922,,4.0,,3.0,
923,,5.0,,2.0,
924,,3.0,,2.0,
925,,2.0,,3.0,
926,,2.0,,3.0,
927,,6.0,,2.0,
928,,4.0,,2.0,
929,,3.0,,4.0,
930,,2.0,,2.0,
931,,1.0,,4.0,
932,,1.0,,3.0,
933,,5.0,,4.0,
934,,4.0,,4.0,
935,,2.0,,2.0,
936,,2.0,,2.0,
937,,4.0,,1.0,
938,,4.0,,2.0,
939,,4.0,,3.0,
940,,3.0,,2.0,
941,,4.0,,3.0,
942,,4.0,,3.0,
943,,2.0,,2.0,
944,,4.0,,4.0,
945,,4.0,,3.0,
946,,3.0,,2.0,
947,,5.0,,4.0,
948,,5.0,,2.0,
949,,4.0,,2.0,
950,,1.0,,3.0,
951,,1.0,,2.0,
952,,2.0,,4.0,
953,,3.0,,2.0,
954,,2.0,,2.0,
955,,4.0,,3.0,
956,,3.0,,2.0,
957,,5.0,,2.0,
958,,2.0,,2.0,
959,,2.0,,3.0,
960,,4.0,,2.0,
961,,3.0,,3.0,
962,,2.0,,2.0,
963,,4.0,,3.0,
964,,2.0,,2.0,
965,,4.0,,3.0,
966,,2.0,,2.0,
967,,4.0,,2.0,
968,,3.0,,3.0,
969,,5.0,,2.0,
970,,3.0,,3.0,
971,,3.0,,2.0,
972,,3.0,,3.0,
973,,4.0,,1.0,
974,,2.0,,3.0,
975,,5.0,,1.0,
976,,5.0,,3.0,
977,,1.0,,2.0,
978,,4.0,,3.0,
979,,2.0,,1.0,
980,,3.0,,2.0,
981,,2.0,,2.0,
982,,2.0,,2.0,
983,,6.0,,1.0,
984,,6.0,,2.0,
985,,5.0,,3.0,
986,,4.0,,2.0,
987,,4.0,,2.0,
988,,2.0,,1.0,
989,,1.0,,3.0,
990,,6.0,,2.0,
991,,2.0,,4.0,
992,,2.0,,1.0,
993,,1.0,,1.0,
994,,1.0,,1.0,
995,,2.0,,3.0,
996,,5.0,,5.0,
997,,5.0,,2.0,
998,,6.0,,1.0,
999,,4.0,,1.0,
1000,,2.0,,1.0,
1001,,3.0,,3.0,
1002,,4.0,,2.0,
1003,,3.0,,2.0,
1004,,2.0,,3.0,
1005,,5.0,,1.0,
1006,,3.0,,3.0,
1007,,2.0,,2.0,
1008,,6.0,,1.0,
1009,,4.0,,4.0,
1010,,2.0,,1.0,
1011,,3.0,,2.0,
1012,,2.0,,2.0,
1013,,6.0,,1.0,
1014,,1.0,,1.0,
1015,,3.0,,2.0,
1016,,1.0,,2.0,
1017,,2.0,,3.0,
1018,,1.0,,1.0,
1019,,2.0,,1.0,
1020,,1.0,,3.0,
1021,,4.0,,2.0,
1022,,5.0,,4.0,
1023,,3.0,,2.0,
1024,,1.0,,2.0,
1025,,2.0,,2.0,
1026,,2.0,,3.0,
1027,,2.0,,2.0,
1028,,4.0,,3.0,
1029,,3.0,,5.0,
1030,,5.0,,2.0,
1031,,3.0,,3.0,
1032,,1.0,,2.0,
1033,,4.0,,2.0,
1034,,2.0,,2.0,
1035,,2.0,,2.0,
1036,,4.0,,2.0,
1037,,4.0,,4.0,
1038,,5.0,,2.0,
1039,,4.0,,2.0,
1040,,1.0,,3.0,
1041,,4.0,,2.0,
1042,,2.0,,1.0,
1043,,5.0,,1.0,
1044,,3.0,,3.0,
1045,,1.0,,2.0,
1046,,2.0,,2.0,
1047,,1.0,,2.0,
1048,,2.0,,2.0,
1049,,1.0,,2.0,
1050,,3.0,,2.0,
1051,,3.0,,3.0,
1052,,1.0,,4.0,
1053,,3.0,,3.0,
1054,,1.0,,1.0,
1055,,5.0,,2.0,
1056,,1.0,,3.0,
1057,,3.0,,2.0,
1058,,2.0,,3.0,
1059,,8.0,,8.0,
1060,,3.0,,2.0,
1061,,5.0,,2.0,
1062,,1.0,,1.0,
1063,,5.0,,2.0,
1064,,1.0,,3.0,
